pyram,clock
531,1892
714,1424
543,4772
1080,2270
520,1070
605,3996
519,1386
380,1443
616,847
467,1899
1098,1855
1585,2316
1168,3516
471,898
538,2307
518,1286
810,1804
654,806
1249,2262
871,959
1602,2253
1346,1570
441,1192
978,453
514,1263
1156,1778
1413,1403
417,1191
1037,1879
708,1298
776,1103
1902,3284
718,1184
616,1608
631,2970
541,1835
427,2724
942,2888
719,2759
902,3957
314,1476
1272,1278
607,2706
602,1520
470,1516
871,2925
1006,1270
3393,4039
667,3566
557,1689
1124,1943
666,1015
653,1409
487,2727
1093,1671
360,1320
521,1085
639,3021
311,1153
677,719
234,1085
1309,2017
1931,2511
604,2901
630,1320
1075,2508
686,1660
716,2942
851,2633
610,1912
1214,5152
1801,3992
482,1222
1723,4828
317,1381
611,1964
918,4178
963,1878
598,1228
509,2146
691,2883
893,1909
966,1034
784,1042
1243,1505
341,1223
425,843
1265,646
1452,7626
1014,2157
907,3148
875,1096
777,1571
281,862
899,1484
317,807
464,3156
422,690
639,1568
294,1108
720,2897
442,994
762,1645
1060,3016
286,1482
1126,1408
781,836
638,3486
247,1804
739,1263
762,2079
591,1727
498,2018
621,696
269,842
490,1161
1140,3210
406,1098
798,1434
848,1336
626,1000
452,1104
987,1662
642,1770
1110,3203
1250,2812
878,1100
326,1298
804,2123
653,2358
862,3313
1626,821
929,2430
293,1232
614,984
1081,2609
602,1551
296,955
797,1799
837,2814
528,1370
872,3032
313,2231
848,1905
905,1259
1748,1761
996,1457
1078,2740
796,1317
537,1842
306,635
381,632
816,1369
1041,3643
1689,1407
338,795
914,3880
605,2563
1016,5460
812,1280
638,674
245,8955
504,1095
992,1077
619,1181
686,1378
672,5019
776,1422
1106,3746
952,3844
1018,3806
1134,1720
1806,11151
1112,1555
555,1407
954,1952
769,2786
502,1031
1187,1100
1040,4413
855,2405
1405,4098
668,619
1333,2101
304,546
973,3134
223,849
757,1324
649,874
477,2508
1004,4892
413,1062
1053,1593
679,984
680,1720
1319,3053
1354,3698
711,1520
335,1027
1124,1635
966,1578
619,1256
918,1477
629,1291
812,1543
908,1364
572,2269
418,2100
952,4605
495,681
437,869
1736,968
417,721
429,1307
1212,12158
1166,2367
1129,2558
397,994
541,3277
976,6042
771,2060
1786,3161
482,1679
1631,3412
904,1954
382,1141
642,1833
440,565
525,1961
1308,2551
1946,3706
454,1377
970,927
1427,2859
320,709
1395,1835
407,1319
918,3466
462,1390
803,5233
1549,3948
2065,7546
566,1592
751,592
770,1589
540,2127
1411,3103
803,767
